Namespace(batch_size=64, dataset='modelnet40', dropout=0.5, epochs=1000, eval=False, exp_name='exp24_sa16_lr2e_3_b64_0820', lr=0.002, model_path='/model_27431.t7', momentum=0.9, no_cuda=False, num_points=27431, seed=1, test_batch_size=32, use_sgd=True)
Using GPU : 0 from 1 devices
Train 0, loss: 3.037380, mean_absolute_error: 1.393098, r2_score: -0.371408
Validation 0, loss: 2.408597, mean_absolute_error: 1.292489, r2_score: -0.058758
Train 1, loss: 2.506699, mean_absolute_error: 1.277307, r2_score: -0.130231
Validation 1, loss: 2.375013, mean_absolute_error: 1.262018, r2_score: -0.043996
Train 2, loss: 2.401420, mean_absolute_error: 1.250127, r2_score: -0.083440
Validation 2, loss: 2.320240, mean_absolute_error: 1.254913, r2_score: -0.019919
Train 3, loss: 2.399242, mean_absolute_error: 1.250893, r2_score: -0.082450
Validation 3, loss: 2.307704, mean_absolute_error: 1.256953, r2_score: -0.014408
Train 4, loss: 2.361564, mean_absolute_error: 1.242743, r2_score: -0.066136
Validation 4, loss: 2.317343, mean_absolute_error: 1.255320, r2_score: -0.018645
Train 5, loss: 2.339656, mean_absolute_error: 1.235499, r2_score: -0.056186
Validation 5, loss: 2.313530, mean_absolute_error: 1.236006, r2_score: -0.016969
Train 6, loss: 2.411044, mean_absolute_error: 1.246225, r2_score: -0.088549
Validation 6, loss: 2.360586, mean_absolute_error: 1.237752, r2_score: -0.037654
Train 7, loss: 2.327519, mean_absolute_error: 1.234201, r2_score: -0.050069
Validation 7, loss: 2.237982, mean_absolute_error: 1.231715, r2_score: 0.016240
Train 8, loss: 2.196800, mean_absolute_error: 1.196322, r2_score: 0.007991
Validation 8, loss: 3.191038, mean_absolute_error: 1.380033, r2_score: -0.402699
Train 9, loss: 1.970817, mean_absolute_error: 1.111721, r2_score: 0.110309
Validation 9, loss: 1.572259, mean_absolute_error: 1.017151, r2_score: 0.308875
Train 10, loss: 1.794703, mean_absolute_error: 1.071243, r2_score: 0.189966
Validation 10, loss: 1.496366, mean_absolute_error: 0.981660, r2_score: 0.342235
Train 11, loss: 1.678075, mean_absolute_error: 1.028862, r2_score: 0.242655
Validation 11, loss: 1.313008, mean_absolute_error: 0.917103, r2_score: 0.422835
Train 12, loss: 1.580028, mean_absolute_error: 0.994252, r2_score: 0.287009
Validation 12, loss: 1.394378, mean_absolute_error: 0.951395, r2_score: 0.387067
Train 13, loss: 1.604951, mean_absolute_error: 0.986736, r2_score: 0.275505
Validation 13, loss: 1.493688, mean_absolute_error: 0.964834, r2_score: 0.343412
Train 14, loss: 1.507647, mean_absolute_error: 0.968319, r2_score: 0.318286
Validation 14, loss: 1.715083, mean_absolute_error: 1.060181, r2_score: 0.246093
Train 15, loss: 1.501288, mean_absolute_error: 0.961648, r2_score: 0.322604
Validation 15, loss: 1.442316, mean_absolute_error: 0.976775, r2_score: 0.365994
Train 16, loss: 1.520165, mean_absolute_error: 0.968840, r2_score: 0.314138
Validation 16, loss: 1.424733, mean_absolute_error: 0.943250, r2_score: 0.373723
Train 17, loss: 1.473812, mean_absolute_error: 0.948179, r2_score: 0.334477
Validation 17, loss: 1.378781, mean_absolute_error: 0.931861, r2_score: 0.393923
Train 18, loss: 1.392916, mean_absolute_error: 0.925973, r2_score: 0.371271
Validation 18, loss: 1.074118, mean_absolute_error: 0.818043, r2_score: 0.527845
Train 19, loss: 1.339075, mean_absolute_error: 0.910003, r2_score: 0.395264
Validation 19, loss: 1.179376, mean_absolute_error: 0.866350, r2_score: 0.481576
Train 20, loss: 1.281898, mean_absolute_error: 0.893317, r2_score: 0.420755
Validation 20, loss: 1.186085, mean_absolute_error: 0.857610, r2_score: 0.478627
Train 21, loss: 1.286995, mean_absolute_error: 0.888537, r2_score: 0.419281
Validation 21, loss: 1.059583, mean_absolute_error: 0.803621, r2_score: 0.534234
Train 22, loss: 1.240344, mean_absolute_error: 0.869631, r2_score: 0.439672
Validation 22, loss: 1.009374, mean_absolute_error: 0.801354, r2_score: 0.556305
Train 23, loss: 1.227734, mean_absolute_error: 0.870638, r2_score: 0.446142
