Namespace(batch_size=16, dataset='modelnet40', dropout=0.5, epochs=1000, eval=False, exp_name='sa16_lr5e_4_b16_0820', lr=0.0005, model_path='/model_27431.t7', momentum=0.9, no_cuda=False, num_points=27431, seed=1, test_batch_size=32, use_sgd=True)
Using GPU : 0 from 1 devices
Train 0, loss: 3.203070, mean_absolute_error: 1.427596, r2_score: -0.445943
Validation 0, loss: 2.727270, mean_absolute_error: 1.394948, r2_score: -0.198839
Train 1, loss: 2.426190, mean_absolute_error: 1.260716, r2_score: -0.094801
Validation 1, loss: 2.488666, mean_absolute_error: 1.322322, r2_score: -0.093955
Train 2, loss: 2.443105, mean_absolute_error: 1.267595, r2_score: -0.102879
Validation 2, loss: 2.311839, mean_absolute_error: 1.261386, r2_score: -0.016226
Train 3, loss: 2.403680, mean_absolute_error: 1.255344, r2_score: -0.084747
Validation 3, loss: 2.281557, mean_absolute_error: 1.251038, r2_score: -0.002915
Train 4, loss: 2.395094, mean_absolute_error: 1.252818, r2_score: -0.081715
Validation 4, loss: 2.279968, mean_absolute_error: 1.238824, r2_score: -0.002216
Train 5, loss: 2.367841, mean_absolute_error: 1.244239, r2_score: -0.069987
Validation 5, loss: 2.256338, mean_absolute_error: 1.233779, r2_score: 0.008171
Train 6, loss: 2.358354, mean_absolute_error: 1.243057, r2_score: -0.064654
Validation 6, loss: 2.239902, mean_absolute_error: 1.237458, r2_score: 0.015396
Train 7, loss: 2.340063, mean_absolute_error: 1.236509, r2_score: -0.055864
Validation 7, loss: 2.331548, mean_absolute_error: 1.264222, r2_score: -0.024890
Train 8, loss: 2.363069, mean_absolute_error: 1.239356, r2_score: -0.067279
Validation 8, loss: 2.266691, mean_absolute_error: 1.226729, r2_score: 0.003620
Train 9, loss: 2.358014, mean_absolute_error: 1.242194, r2_score: -0.064470
Validation 9, loss: 2.238632, mean_absolute_error: 1.224364, r2_score: 0.015954
Train 10, loss: 2.349586, mean_absolute_error: 1.237177, r2_score: -0.060725
Validation 10, loss: 2.250971, mean_absolute_error: 1.226199, r2_score: 0.010530
Train 11, loss: 2.340898, mean_absolute_error: 1.234014, r2_score: -0.056274
Validation 11, loss: 2.298602, mean_absolute_error: 1.249391, r2_score: -0.010407
Train 12, loss: 2.325740, mean_absolute_error: 1.231088, r2_score: -0.049187
Validation 12, loss: 2.392802, mean_absolute_error: 1.274913, r2_score: -0.051815
Train 13, loss: 2.328787, mean_absolute_error: 1.232014, r2_score: -0.051495
Validation 13, loss: 2.297958, mean_absolute_error: 1.258001, r2_score: -0.010124
Train 14, loss: 2.335706, mean_absolute_error: 1.236185, r2_score: -0.055333
Validation 14, loss: 2.484578, mean_absolute_error: 1.317199, r2_score: -0.092158
Train 15, loss: 2.328472, mean_absolute_error: 1.229664, r2_score: -0.051065
Validation 15, loss: 2.263545, mean_absolute_error: 1.246696, r2_score: 0.005003
Train 16, loss: 2.228232, mean_absolute_error: 1.204083, r2_score: -0.005273
Validation 16, loss: 2.588441, mean_absolute_error: 1.348702, r2_score: -0.137813
Train 17, loss: 2.014402, mean_absolute_error: 1.137714, r2_score: 0.090984
Validation 17, loss: 1.621806, mean_absolute_error: 1.045628, r2_score: 0.287095
Train 18, loss: 1.835353, mean_absolute_error: 1.084321, r2_score: 0.171811
Validation 18, loss: 1.744228, mean_absolute_error: 1.074325, r2_score: 0.233282
Train 19, loss: 1.782179, mean_absolute_error: 1.062665, r2_score: 0.195484
Validation 19, loss: 1.782620, mean_absolute_error: 1.071856, r2_score: 0.216405
Train 20, loss: 1.708295, mean_absolute_error: 1.033697, r2_score: 0.228133
Validation 20, loss: 1.538495, mean_absolute_error: 1.000883, r2_score: 0.323717
Train 21, loss: 1.649957, mean_absolute_error: 1.019404, r2_score: 0.254993
Validation 21, loss: 1.580517, mean_absolute_error: 1.010126, r2_score: 0.305245
Train 22, loss: 1.604943, mean_absolute_error: 1.003152, r2_score: 0.275427
Validation 22, loss: 1.969177, mean_absolute_error: 1.131403, r2_score: 0.134400
Train 23, loss: 1.581925, mean_absolute_error: 0.994181, r2_score: 0.286198
Validation 23, loss: 1.385512, mean_absolute_error: 0.929152, r2_score: 0.390964
Train 24, loss: 1.533245, mean_absolute_error: 0.977895, r2_score: 0.308311
Validation 24, loss: 1.409203, mean_absolute_error: 0.949526, r2_score: 0.380550
